team,Avg_Pos,Avg_Neg,Avg_Compound,Avg_retweet,Number_tweets
dukembb,7.1746795981988205,4.2647038448216,7.708791132663656,641.4818150329062,2887
razorbackmbb,9.69665796344647,3.0156135770234993,13.272741514360305,294.2976501305483,1915
peacocksmbb,9.83645291738878,3.581340265742345,13.342212593876368,941.6152512998267,1731
uconnwbb,11.287269681742035,1.81750418760469,18.45340871021777,288.47236180904525,1194
kuhoops,10.500322234156823,3.0244897959183703,16.725510204081594,356.312567132116,931
uhcougarmbk,11.243691899070383,2.572244355909694,22.219747675962804,82.12881806108898,753
caneshoops,10.7113981762918,4.513525835866261,14.92322188449843,260.0927051671733,658
gamecockwbb,10.103135888501749,2.550522648083624,15.111114982578389,92.28397212543554,574
uoflwbb,11.122426470588241,1.1665441176470588,22.863455882352905,94.1029411764706,544
novambb,10.999999999999996,2.5191142191142197,19.23939393939394,65.74358974358974,429
umichwbball,15.29184952978056,1.2442006269592476,34.260438871473326,136.89968652037618,319
packwomensbball,15.128825622775805,2.8900355871886116,26.499466192170797,67.8932384341637,281
stanfordwbb,9.850915750915748,1.6120879120879121,19.783333333333335,37.27838827838828,273
texaswbb,16.786923076923078,2.246153846153846,32.12161538461536,26.407692307692308,130
creightonwbb,10.516161616161618,2.682828282828283,16.71939393939394,78.1919191919192,99